iter	Passed	Remaining
675	1220	585
676	1221	582
677	1222	580
678	1223	578
679	1224	576
680	1225	574
681	1226	571
682	1227	569
683	1228	567
684	1229	565
685	1230	563
686	1232	561
687	1233	559
688	1234	557
689	1235	554
690	1236	552
691	1237	550
692	1238	548
693	1239	546
694	1240	544
695	1241	542
696	1242	540
697	1243	538
698	1244	535
699	1245	533
700	1246	531
701	1247	529
702	1248	527
703	1249	525
704	1251	523
705	1252	521
706	1253	519
707	1254	517
708	1255	515
709	1256	513
710	1257	510
711	1258	508
712	1259	506
713	1260	504
714	1261	502
715	1262	500
716	1263	498
717	1265	496
718	1266	494
719	1267	492
720	1268	490
721	1269	488
722	1270	486
723	1271	484
724	1272	482
725	1273	480
726	1274	478
727	1275	476
728	1276	474
729	1278	472
730	1279	470
731	1280	468
732	1281	466
733	1282	464
734	1283	462
735	1284	460
736	1285	458
737	1286	456
738	1287	454
739	1288	452
740	1289	450
741	1290	448
742	1292	446
743	1293	444
744	1294	443
745	1295	441
746	1296	439
747	1297	437
748	1298	435
749	1299	433
750	1300	431
751	1301	429
752	1302	427
753	1303	425
754	1304	423
755	1305	421
756	1306	419
757	1308	417
758	1308	415
759	1309	413
760	1310	411
761	1311	409
762	1312	407
763	1313	405
764	1314	403
765	1315	401
766	1316	400
767	1317	398
768	1318	396
769	1319	394
770	1321	392
771	1322	390
772	1323	388
773	1324	386
774	1325	384
775	1326	382
776	1327	380
777	1328	378
778	1329	377
779	1330	375
780	1331	373
781	1332	371
782	1333	369
783	1333	367
784	1335	365
785	1336	363
786	1337	361
787	1338	360
788	1339	358
789	1340	356
790	1341	354
791	1342	352
792	1343	350
793	1344	348
794	1345	346
795	1346	344
796	1347	343
797	1348	341
798	1349	339
799	1350	337
800	1351	335
801	1352	333
802	1353	332
803	1354	330
804	1355	328
805	1356	326
806	1357	324
807	1358	322
808	1358	320
809	1359	318
810	1360	317
811	1361	315
812	1363	313
813	1364	311
814	1365	309
815	1366	308
816	1368	306
817	1369	304
818	1370	302
819	1371	301
820	1372	299
821	1373	297
822	1374	295
823	1375	293
824	1376	292
825	1377	290
826	1379	288
827	1380	286
828	1381	285
829	1382	283
830	1384	281
831	1385	279
832	1386	277
833	1387	276
834	1388	274
835	1390	272
836	1391	270
837	1392	269
838	1393	267
839	1395	265
840	1396	263
841	1397	262
842	1398	260
843	1399	258
844	1400	256
845	1401	255
846	1402	253
847	1403	251
848	1405	249
849	1406	248
850	1407	246
851	1408	244
852	1409	242
853	1411	241
854	1412	239
855	1413	237
856	1414	235
857	1415	234
858	1416	232
859	1417	230
860	1418	229
861	1420	227
862	1422	225
863	1423	224
864	1425	222
865	1426	220
866	1427	219
867	1429	217
868	1430	215
869	1431	213
870	1432	212
871	1433	210
872	1434	208
873	1435	206
874	1436	205
875	1437	203
876	1438	201
877	1440	200
878	1442	198
879	1443	196
880	1444	195
881	1445	193
882	1446	191
883	1447	189
884	1449	188
885	1450	186
886	1451	184
887	1452	183
888	1453	181
889	1454	179
890	1456	178
891	1457	176
892	1458	174
893	1459	173
894	1460	171
895	1462	169
896	1463	168
897	1464	166
898	1465	164
899	1466	162
900	1467	161
901	1468	159
902	1471	158
903	1472	156
904	1474	154
905	1475	153
906	1476	151
907	1477	149
908	1479	148
909	1480	146
910	1481	144
911	1482	143
912	1483	141
913	1484	139
914	1486	138
915	1487	136
916	1488	134
917	1489	133
918	1490	131
919	1491	129
920	1492	128
921	1494	126
922	1495	124
923	1496	123
924	1497	121
925	1498	119
926	1500	118
927	1502	116
928	1505	115
929	1506	113
930	1507	111
931	1508	110
932	1509	108
933	1510	106
934	1511	105
935	1512	103
936	1513	101
937	1514	100
938	1516	98
939	1517	96
940	1518	95
941	1519	93
942	1520	91
943	1521	90
944	1522	88
945	1523	86
946	1524	85
947	1525	83
948	1526	82
949	1527	80
950	1528	78
951	1529	77
952	1531	75
953	1532	73
954	1533	72
955	1534	70
956	1535	69
957	1536	67
958	1538	65
959	1539	64
960	1540	62
961	1541	60
962	1541	59
963	1543	57
964	1544	56
965	1545	54
966	1547	52
967	1548	51
968	1549	49
969	1551	47
970	1552	46
971	1553	44
972	1554	43
973	1555	41
974	1556	39
975	1557	38
976	1558	36
977	1561	35
978	1562	33
979	1563	31
980	1564	30
981	1565	28
982	1566	27
983	1568	25
984	1569	23
985	1570	22
986	1571	20
987	1572	19
988	1574	17
989	1575	15
990	1577	14
991	1578	12
992	1579	11
993	1580	9
994	1581	7
995	1582	6
996	1583	4
997	1584	3
998	1585	1
999	1586	0
